country,country_code,sub_region,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,work_count_total
Slovenia,SVN,Southern Europe,9.0,7.0,5.0,2.0,8.0,3.0,3.0,2.0,3.0,3.0,45.0
Kenya,KEN,Sub-Saharan Africa,4.0,2.0,0.0,3.0,6.0,6.0,3.0,3.0,11.0,7.0,45.0
Nigeria,NGA,Sub-Saharan Africa,3.0,1.0,2.0,3.0,5.0,7.0,6.0,7.0,1.0,8.0,43.0
Ghana,GHA,Sub-Saharan Africa,3.0,4.0,3.0,1.0,8.0,2.0,5.0,4.0,8.0,5.0,43.0
United Arab Emirates,ARE,Western Asia,0.0,2.0,1.0,3.0,4.0,1.0,3.0,11.0,13.0,4.0,42.0
Morocco,MAR,Northern Africa,3.0,1.0,2.0,0.0,8.0,8.0,3.0,7.0,6.0,4.0,42.0
Malaysia,MYS,South-eastern Asia,5.0,1.0,2.0,3.0,6.0,2.0,2.0,6.0,8.0,5.0,40.0
Ecuador,ECU,Latin America and the Caribbean,5.0,2.0,2.0,1.0,8.0,4.0,5.0,4.0,7.0,1.0,39.0
Indonesia,IDN,South-eastern Asia,4.0,2.0,3.0,4.0,9.0,1.0,3.0,3.0,3.0,6.0,38.0
Iceland,ISL,Northern Europe,16.0,8.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,38.0
Nepal,NPL,Southern Asia,0.0,0.0,2.0,2.0,6.0,6.0,4.0,8.0,7.0,2.0,37.0
Lebanon,LBN,Western Asia,1.0,2.0,1.0,1.0,4.0,5.0,5.0,11.0,7.0,0.0,37.0
Qatar,QAT,Western Asia,5.0,0.0,3.0,2.0,3.0,7.0,3.0,5.0,2.0,2.0,32.0
Croatia,HRV,Southern Europe,1.0,1.0,1.0,5.0,3.0,6.0,6.0,6.0,1.0,1.0,31.0
Uganda,UGA,Sub-Saharan Africa,2.0,1.0,2.0,3.0,7.0,3.0,1.0,4.0,2.0,4.0,29.0
Bulgaria,BGR,Eastern Europe,3.0,3.0,1.0,3.0,2.0,4.0,1.0,6.0,1.0,3.0,27.0
Tanzania,TZA,Sub-Saharan Africa,1.0,4.0,1.0,0.0,0.0,3.0,2.0,7.0,6.0,1.0,25.0
Ukraine,UKR,Eastern Europe,2.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,4.0,25.0
Bolivia,BOL,Latin America and the Caribbean,4.0,1.0,2.0,1.0,5.0,5.0,1.0,2.0,2.0,1.0,24.0
Philippines,PHL,South-eastern Asia,3.0,3.0,0.0,7.0,6.0,0.0,1.0,0.0,0.0,3.0,23.0
Serbia,SRB,Southern Europe,0.0,4.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,5.0,22.0
Venezuela,VEN,Latin America and the Caribbean,3.0,1.0,1.0,4.0,7.0,3.0,0.0,1.0,1.0,1.0,22.0
Vietnam,VNM,South-eastern Asia,1.0,3.0,3.0,3.0,3.0,0.0,2.0,1.0,2.0,3.0,21.0
Bahrain,BHR,Western Asia,3.0,2.0,1.0,2.0,5.0,0.0,2.0,3.0,1.0,1.0,20.0
